N ENGINE,N SEATS,N BLADES,RD,MTOW,Label
2,28,5,18.9,8618,0
2,28,5,18.9,8618,0
2,28,5,18.9,8618,0
2,28,5,18.9,8618,1
2,28,5,18.9,8618,1
2,3,6,21.95,19051,0
2,3,6,21.95,19051,0
2,3,6,21.95,19051,0
2,3,6,21.95,19051,0
2,3,6,21.95,19051,0
2,3,6,21.95,19051,0
2,3,6,21.95,19051,0
2,3,6,21.95,19051,1
2,3,6,21.95,19051,1
2,3,6,21.95,19051,1
2,3,6,21.95,19051,1
2,28,5,18.9,8618,0
1,6,2,13.41,4309,0
1,6,2,13.41,4309,0
1,6,2,13.41,4309,0
1,6,2,13.41,4309,0
1,6,2,13.41,4309,0
1,6,2,13.41,4309,0
1,6,2,13.41,4309,0
1,6,2,13.41,4309,0
1,6,2,13.41,4309,0
1,6,2,13.41,4309,0
1,6,2,13.41,4309,0
1,6,2,13.41,4309,0
1,6,2,13.41,4309,0
1,6,2,13.41,4309,0
1,6,2,13.41,4309,0
1,6,2,13.41,4309,0
1,6,2,13.41,4309,0
1,6,2,13.41,4309,0
1,6,2,13.41,4309,0
1,6,2,13.41,4309,0
1,6,2,13.41,4309,0
1,6,2,13.41,4309,0
1,6,2,13.41,4309,0
1,6,2,13.41,4309,0
1,6,2,13.41,4309,0
1,6,2,13.41,4309,0
1,6,2,13.41,4309,0
1,6,2,13.41,4309,1
1,6,2,13.41,4309,1
1,6,2,13.41,4309,1
1,6,2,13.41,4309,1
1,6,2,13.41,4309,1
1,6,2,13.41,4309,1
1,6,2,13.41,4309,1
1,6,2,13.41,4309,1
1,6,2,13.41,4309,1
1,6,2,13.41,4309,1
1,6,2,13.41,4309,1
1,6,2,13.41,4309,1
1,6,2,13.41,4309,1
1,6,2,14.71,4309,0
1,6,2,14.71,4309,0
1,6,2,14.71,4309,0
1,6,2,14.71,4309,0
1,6,2,14.71,4309,0
1,6,2,14.71,4309,0
1,3,3,9.76,1179,0
1,3,3,9.76,1179,0
1,3,3,9.76,1179,0
1,12,2,14.33,4150,0
1,3,3,8.18,930,0
1,15,2,15.24,6804,0
1,6,2,14.64,4763,0
1,6,2,14.64,4763,1
1,6,2,14.64,4763,1
1,4,2,10.8,1406,0
1,4,2,10.8,1406,1
1,4,2,10.8,1406,1
1,4,2,10.8,1406,1
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,0
1,4,2,10.77,1360,1
1,4,2,10.77,1360,1
1,4,2,10.77,1360,1
1,4,2,10.77,1360,1
1,4,2,10.77,1360,1
1,4,2,10.77,1360,1
1,4,2,10.77,1360,1
1,4,2,10.77,1360,1
1,4,2,10.77,1360,1
1,4,2,10.77,1360,1
1,4,2,10.77,1360,1
1,4,2,10.77,1360,1
1,4,2,10.77,1360,1
1,4,2,10.77,1360,1
1,4,2,10.77,1360,1
1,4,2,10.77,1360,1
1,4,2,10.77,1360,1
1,4,2,10.77,1360,1
1,4,2,10.77,1360,1
1,4,2,10.77,1360,1
1,4,2,10.77,1360,1
1,4,2,10.77,1360,1
1,4,2,10.77,1360,1
1,4,2,10.77,1360,1
1,4,2,10.77,1360,1
1,4,2,10.77,1360,1
1,4,2,10.77,1360,1
1,4,2,10.77,1360,1
1,4,2,10.77,1360,1
1,4,2,10.77,1360,1
1,4,2,10.77,1360,1
1,4,2,10.77,1360,1
1,4,2,10.77,1360,1
1,2,2,10.67,2177,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,0
2,8,4,11,3585,1
2,8,4,11,3585,1
2,8,4,11,3585,1
2,8,4,11,3585,1
2,8,4,11,3585,1
2,8,4,11,3585,1
2,8,4,11,3585,1
2,8,4,11,3585,1
2,8,4,11,3585,1
2,8,4,11,3585,1
2,6,4,9.84,2500,0
2,6,4,9.84,2500,0
2,6,4,9.84,2500,0
2,5,4,9.84,2400,0
2,5,4,9.84,2400,0
2,8,4,10.2,2910,0
2,8,4,10.2,2910,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,0
2,15,4,16.36,9185,1
2,15,4,16.36,9185,1
2,15,4,16.36,9185,1
2,15,4,16.36,9185,1
2,15,4,16.36,9185,1
2,15,4,16.36,9185,1
2,15,4,16.36,9185,1
2,15,4,16.36,9185,1
2,15,4,16.36,9185,1
2,15,4,16.36,9185,1
2,15,4,16.36,9185,1
2,15,4,16.36,9185,1
2,15,4,16.36,9185,1
2,15,4,16.36,9185,1
2,15,4,16.36,9185,1
2,5,4,9.84,2500,0
2,5,4,9.84,2500,0
2,5,4,9.84,2500,0
2,5,4,9.84,2500,0
2,5,4,9.84,2500,0
2,5,4,9.84,2500,0
2,5,4,9.84,2500,0
2,5,4,9.84,2500,0
